Latest_Cracking_ratio,Latest_Rutting_max,Latest_Condition_Year,Section_Length,Pavement_Width,Latest_Pavement_type,Road_Category_ID,Road_Class_ID,TV_Total,TV_Heavy,Region,Route_ID,det_no_c,det_no_r
0,11,2012,100,7.06,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.98,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.84,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.94,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.2,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.92,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,15,2012,100,6.64,1,1,3,6013.5,1560,1,101001000,2,2
0,16,2012,100,6.9,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,7.12,1,1,2,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.68,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,5,6.96,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.64,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.62,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,50,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,5,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.12,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0,14,2012,100,6.72,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.46,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,5,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.48,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,7.04,1,1,3,6013.5,1560,1,101001000,2,2
0,13,2012,100,7.26,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.86,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.62,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
0,16,2012,5,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.7,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.76,1,1,3,6013.5,1560,1,101001000,2,2
0.4,10,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0,12,2012,100,6.78,1,1,3,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.74,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.8,1,1,3,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.94,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.86,1,1,2,6013.5,1560,1,101001000,2,2
0,12,2012,100,7.56,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,25,7.6,1,1,2,6013.5,1560,1,101001000,2,2
0,11,2012,100,6.72,1,1,2,6013.5,1560,1,101001000,2,2
0,9,2012,100,6.64,1,1,2,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.68,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.62,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.32,1,1,3,6013.5,1560,1,101001000,2,2
0,7,2012,100,6.1,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.6,1,1,3,6013.5,1560,1,101001000,2,2
0,10,2012,100,6.82,1,1,3,6013.5,1560,1,101001000,2,2
0,8,2012,100,6.66,1,1,3,6013.5,1560,1,101001000,2,2
